Order ID,Date,Customer Segment,Region,City,Category,Sub-Category,Product Name,Units Sold,Unit Price,Revenue,Cost,Profit,Shipping Cost,Discount,Delivery Status
ORD-1786,23-06-2024,Small Business,East,City_23,Technology,Accessories,Accessories - 584,3,39.44,118.32,72.63,45.69,22.75,0,On Time
ORD-1897,23-06-2024,Consumer,South,City_16,Furniture,Bookcases,Bookcases - 409,14,82.91,1160.74,807.24,353.5,14.79,0.2,On Time
ORD-2018,23-06-2024,Small Business,West,City_17,Furniture,Chairs,Chairs - 332,6,242.44,1454.64,906.12,548.52,26.31,0,On Time
ORD-2329,23-06-2024,Consumer,East,City_26,Furniture,Bookcases,Bookcases - 314,10,441.38,4413.8,2286.5,2127.3,24.49,0,On Time
ORD-1147,22-06-2024,Corporate,Central,City_35,Office Supplies,Storage,Storage - 308,12,168.92,2027.04,1249.8,777.24,29.85,0.1,On Time
ORD-1664,22-06-2024,Consumer,Central,City_21,Office Supplies,Storage,Storage - 657,12,291.01,3492.12,2009.16,1482.96,28.55,0.2,On Time
ORD-1919,22-06-2024,Consumer,South,City_16,Office Supplies,Storage,Storage - 985,15,243.97,3659.55,2463.3,1196.25,18.47,0,On Time
ORD-1965,22-06-2024,Corporate,East,City_28,Office Supplies,Binders,Binders - 874,7,455.35,3187.45,1833.58,1353.87,9.54,0,On Time
ORD-2414,22-06-2024,Corporate,East,City_45,Technology,Accessories,Accessories - 706,19,301.14,5721.66,4465.19,1256.47,10.25,0,On Time
ORD-1110,21-06-2024,Corporate,East,City_47,Furniture,Chairs,Chairs - 229,3,231.18,693.54,386.49,307.05,22.34,0.1,On Time
ORD-1593,21-06-2024,Small Business,East,City_28,Technology,Accessories,Accessories - 264,11,445.25,4897.75,3237.3,1660.45,9.71,0.1,On Time
ORD-1265,20-06-2024,Small Business,West,City_8,Office Supplies,Binders,Binders - 760,16,451.95,7231.2,5657.28,1573.92,23.86,0.3,On Time
ORD-1409,20-06-2024,Consumer,West,City_24,Office Supplies,Storage,Storage - 324,6,54.74,328.44,200.88,127.56,8.21,0,On Time
ORD-1444,20-06-2024,Small Business,Central,City_32,Furniture,Tables,Tables - 229,9,49.48,445.32,245.61,199.71,7.24,0,Late
ORD-1946,20-06-2024,Small Business,East,City_13,Technology,Phones,Phones - 748,7,452.42,3166.94,2486.19,680.75,11.29,0,On Time
ORD-2250,20-06-2024,Small Business,East,City_48,Technology,Accessories,Accessories - 555,9,72.33,650.97,415.71,235.26,12.29,0,On Time
ORD-2389,20-06-2024,Consumer,South,City_40,Technology,Phones,Phones - 975,6,267.34,1604.04,1270.68,333.36,11.71,0,On Time
ORD-1835,19-06-2024,Corporate,West,City_43,Office Supplies,Binders,Binders - 758,12,55.58,666.96,471,195.96,11.66,0,On Time
ORD-2423,19-06-2024,Corporate,East,City_6,Technology,Phones,Phones - 484,19,68.43,1300.17,836.19,463.98,10.28,0,On Time
ORD-1858,18-06-2024,Consumer,West,City_47,Office Supplies,Binders,Binders - 477,6,301,1806,1311,495,6.95,0,On Time
ORD-1989,18-06-2024,Corporate,West,City_2,Technology,Copiers,Copiers - 618,4,433.18,1732.72,1091.68,641.04,24.38,0,On Time
ORD-2312,18-06-2024,Small Business,East,City_19,Furniture,Chairs,Chairs - 453,1,61.59,61.59,35.96,25.63,13.89,0,On Time
ORD-2086,17-06-2024,Corporate,West,City_5,Technology,Copiers,Copiers - 343,5,362.79,1813.95,960.9,853.05,8.18,0,Late
ORD-2057,16-06-2024,Consumer,South,City_24,Office Supplies,Paper,Paper - 431,12,367.34,4408.08,2711.4,1696.68,11.99,0.1,On Time
ORD-2058,15-06-2024,Small Business,West,City_10,Furniture,Bookcases,Bookcases - 761,19,464.32,8822.08,7194.35,1627.73,8.3,0,On Time
ORD-2425,15-06-2024,Corporate,West,City_3,Technology,Accessories,Accessories - 308,19,386.08,7335.52,3850.73,2090.874,6.27,0.2,On Time
ORD-1410,14-06-2024,Consumer,Central,City_16,Furniture,Chairs,Chairs - 444,3,449.32,1347.96,766.59,581.37,26.54,0,On Time
ORD-1802,14-06-2024,Corporate,Central,City_8,Furniture,Chairs,Chairs - 145,10,460.86,4608.6,3062.9,1545.7,22.25,0,On Time
ORD-1973,14-06-2024,Consumer,West,City_6,Office Supplies,Binders,Binders - 476,9,355.47,3199.23,1853.64,1345.59,20.77,0.1,On Time
ORD-2224,14-06-2024,Small Business,South,City_19,Technology,Accessories,Accessories - 675,6,471.79,2830.74,2080.08,750.66,8.06,0.1,On Time
ORD-2290,14-06-2024,Corporate,East,City_6,Furniture,Tables,Tables - 599,3,429.26,1287.78,860.22,427.56,25.43,0.2,Late
ORD-2424,14-06-2024,Small Business,East,City_34,Technology,Phones,Phones - 628,9,27.04,243.36,189.27,54.09,17.85,0,On Time
ORD-2295,13-06-2024,Small Business,East,City_9,Furniture,Chairs,Chairs - 584,16,81.48,1303.68,736.32,567.36,10.97,0,On Time
ORD-2349,13-06-2024,Corporate,Central,City_46,Furniture,Tables,Tables - 257,4,103.14,412.56,300.4,112.16,12.3,0,On Time
ORD-1210,12-06-2024,Small Business,East,City_1,Technology,Copiers,Copiers - 656,9,24.54,220.86,162.63,58.23,16.26,0,Late
ORD-1885,12-06-2024,Consumer,East,City_20,Furniture,Chairs,Chairs - 233,9,485.72,4371.48,3635.37,736.11,10.36,0.2,On Time
ORD-2379,11-06-2024,Small Business,South,City_13,Technology,Copiers,Copiers - 141,11,313.64,3450.04,2832.72,617.32,7.59,0,On Time
ORD-1067,09-06-2024,Consumer,South,City_39,Office Supplies,Binders,Binders - 203,15,292.97,4394.55,2743.8,1650.75,18.3,0,On Time
ORD-1125,09-06-2024,Small Business,South,City_2,Furniture,Chairs,Chairs - 183,6,251.22,1507.32,884.1,623.22,16.13,0.2,On Time
ORD-1159,09-06-2024,Consumer,East,City_39,Office Supplies,Binders,Binders - 987,2,75.56,151.12,97.7,53.42,19.55,0.1,On Time
ORD-1456,09-06-2024,Corporate,West,City_12,Office Supplies,Storage,Storage - 868,14,270.79,3791.06,2985.78,805.28,24.8,0,On Time
ORD-1838,09-06-2024,Small Business,West,City_23,Technology,Copiers,Copiers - 471,15,405.52,6082.8,4653.9,1428.9,29.74,0,On Time
ORD-2139,09-06-2024,Consumer,South,City_48,Technology,Phones,Phones - 618,8,249.93,1999.44,1273.28,726.16,20.64,0,On Time
ORD-2464,09-06-2024,Corporate,South,City_11,Furniture,Chairs,Chairs - 387,3,482.64,1447.92,966.54,481.38,24.63,0,On Time
ORD-1509,08-06-2024,Small Business,West,City_8,Technology,Phones,Phones - 555,2,338.67,677.34,533.36,143.98,15.53,0,On Time
ORD-1769,08-06-2024,Consumer,East,City_27,Technology,Phones,Phones - 576,9,123.48,1111.32,626.13,291.114,8.38,0.2,On Time
ORD-2101,08-06-2024,Corporate,West,City_13,Furniture,Chairs,Chairs - 573,6,187.52,1125.12,706.32,418.8,5.98,0.2,Late
ORD-1533,07-06-2024,Corporate,West,City_18,Furniture,Chairs,Chairs - 846,17,213.66,3632.22,2144.55,1487.67,21.73,0.2,On Time
ORD-1795,07-06-2024,Corporate,Central,City_45,Furniture,Tables,Tables - 637,5,123.01,615.05,473.9,141.15,8.58,0,On Time
ORD-1082,06-06-2024,Corporate,West,City_22,Technology,Copiers,Copiers - 966,12,417.02,5004.24,3106.68,1897.56,14.07,0.1,On Time
ORD-1940,05-06-2024,Consumer,West,City_39,Technology,Phones,Phones - 104,15,105.13,1576.95,860.55,429.84,26.71,0.3,On Time
ORD-1984,05-06-2024,Small Business,Central,City_16,Technology,Phones,Phones - 393,12,208.5,2502,2093.4,408.6,15.9,0,On Time
ORD-2034,05-06-2024,Small Business,West,City_41,Office Supplies,Paper,Paper - 695,8,59.1,472.8,347.92,124.88,16.88,0,On Time
ORD-2166,04-06-2024,Corporate,West,City_1,Technology,Phones,Phones - 343,11,285.22,3137.42,2020.59,1116.83,17.18,0.1,On Time
ORD-1304,03-06-2024,Consumer,Central,City_12,Furniture,Bookcases,Bookcases - 613,2,218.18,436.36,356.84,79.52,9.7,0,On Time
ORD-1653,03-06-2024,Small Business,West,City_19,Technology,Accessories,Accessories - 298,7,264.02,1848.14,996.94,510.72,9.59,0.2,On Time
ORD-1810,03-06-2024,Corporate,West,City_28,Technology,Phones,Phones - 624,3,164.05,492.15,385.62,106.53,10.38,0,On Time
ORD-2238,03-06-2024,Small Business,South,City_26,Technology,Phones,Phones - 620,3,463.77,1391.31,1084.35,306.96,8.21,0.1,On Time
ORD-1184,02-06-2024,Small Business,East,City_21,Office Supplies,Storage,Storage - 264,15,442.25,6633.75,4230.45,2403.3,24.69,0.2,On Time
ORD-1706,02-06-2024,Small Business,West,City_27,Office Supplies,Paper,Paper - 614,13,21.95,285.35,200.72,84.63,10.48,0,On Time
ORD-2071,02-06-2024,Corporate,Central,City_20,Office Supplies,Binders,Binders - 395,8,16.02,128.16,90.72,37.44,21.77,0.2,Late
ORD-2388,02-06-2024,Corporate,Central,City_34,Furniture,Bookcases,Bookcases - 610,19,121.25,2303.75,1598.09,705.66,9.22,0.1,Late
ORD-2097,01-06-2024,Consumer,South,City_4,Technology,Copiers,Copiers - 121,18,462.34,8322.12,4945.68,2025.864,21.76,0.3,On Time
ORD-2207,01-06-2024,Small Business,West,City_49,Furniture,Tables,Tables - 963,8,161.13,1289.04,951.04,338,15.91,0,On Time
ORD-1100,31-05-2024,Small Business,East,City_17,Technology,Phones,Phones - 161,9,464.6,4181.4,3546.72,634.68,14.91,0,On Time
ORD-1457,30-05-2024,Corporate,East,City_11,Office Supplies,Binders,Binders - 736,4,295.52,1182.08,642.4,539.68,23.03,0,On Time
ORD-2108,30-05-2024,Corporate,South,City_32,Furniture,Bookcases,Bookcases - 769,7,112.62,788.34,661.85,126.49,24.46,0.1,On Time
ORD-2204,30-05-2024,Consumer,East,City_2,Technology,Accessories,Accessories - 445,4,79.08,316.32,233.32,83,7.88,0.1,On Time
ORD-2445,30-05-2024,Small Business,South,City_21,Furniture,Chairs,Chairs - 115,1,487.02,487.02,308.3,178.72,22.61,0,On Time
ORD-1441,29-05-2024,Small Business,South,City_34,Office Supplies,Storage,Storage - 189,7,411.96,2883.72,2008.93,874.79,28.16,0.1,On Time
ORD-2432,29-05-2024,Corporate,Central,City_34,Technology,Accessories,Accessories - 590,19,129.93,2468.67,1794.93,673.74,25.52,0.1,On Time
ORD-2451,29-05-2024,Consumer,Central,City_2,Furniture,Bookcases,Bookcases - 130,3,482.98,1448.94,1211.34,237.6,23.13,0,On Time
ORD-1277,28-05-2024,Corporate,West,City_44,Office Supplies,Paper,Paper - 247,11,301.73,3319.03,1859.44,1459.59,6.71,0.2,On Time
ORD-1344,28-05-2024,Small Business,Central,City_28,Office Supplies,Storage,Storage - 537,12,60.6,727.2,407.52,319.68,12.41,0,Late
ORD-1522,28-05-2024,Small Business,East,City_42,Technology,Phones,Phones - 436,18,197.59,3556.62,2563.38,993.24,15.94,0,On Time
ORD-1389,27-05-2024,Corporate,East,City_43,Furniture,Bookcases,Bookcases - 391,4,280.66,1122.64,795.2,327.44,19.42,0.2,On Time
ORD-1617,27-05-2024,Small Business,Central,City_31,Furniture,Bookcases,Bookcases - 198,16,102.08,1633.28,901.28,732,19.5,0,On Time
ORD-2014,27-05-2024,Corporate,South,City_18,Furniture,Bookcases,Bookcases - 887,6,390.55,2343.3,1358.94,984.36,14.59,0,On Time
ORD-1021,26-05-2024,Corporate,East,City_33,Furniture,Tables,Tables - 198,6,191.38,1148.28,580.38,567.9,15.7,0.2,Late
ORD-1999,26-05-2024,Small Business,Central,City_37,Office Supplies,Storage,Storage - 975,10,350.86,3508.6,2889.4,619.2,14.21,0.1,On Time
ORD-2289,26-05-2024,Small Business,East,City_4,Office Supplies,Binders,Binders - 810,7,405.04,2835.28,2299.29,535.99,15.83,0.2,On Time
ORD-2354,26-05-2024,Small Business,Central,City_28,Furniture,Bookcases,Bookcases - 438,19,407.66,7745.54,5699.81,2045.73,18.41,0,On Time
ORD-1565,25-05-2024,Corporate,Central,City_42,Office Supplies,Paper,Paper - 466,18,183.92,3310.56,2238.3,1072.26,5.1,0,On Time
ORD-1884,25-05-2024,Consumer,Central,City_1,Technology,Phones,Phones - 557,18,62.18,1119.24,752.22,367.02,10.54,0.1,On Time
ORD-1018,24-05-2024,Consumer,South,City_14,Furniture,Tables,Tables - 900,14,278.88,3904.32,2897.58,1006.74,10.61,0.1,On Time
ORD-1161,24-05-2024,Corporate,East,City_1,Technology,Phones,Phones - 524,6,202.27,1213.62,1012.98,200.64,7.55,0,On Time
ORD-1723,24-05-2024,Corporate,East,City_49,Technology,Accessories,Accessories - 480,5,491.5,2457.5,1776.7,680.8,27.65,0,On Time
ORD-1948,24-05-2024,Small Business,Central,City_5,Office Supplies,Binders,Binders - 782,19,248.75,4726.25,2951.08,1775.17,22.37,0,On Time
ORD-1815,23-05-2024,Small Business,Central,City_49,Furniture,Chairs,Chairs - 160,13,489.08,6358.04,3419.13,2938.91,27.84,0.2,On Time
ORD-2094,23-05-2024,Consumer,East,City_18,Furniture,Chairs,Chairs - 646,10,133.75,1337.5,1017.7,319.8,24.31,0.1,On Time
ORD-1378,22-05-2024,Small Business,East,City_46,Furniture,Bookcases,Bookcases - 631,11,416.56,4582.16,3857.59,724.57,7.19,0,On Time
ORD-1876,21-05-2024,Corporate,West,City_13,Furniture,Tables,Tables - 694,10,33.28,332.8,191.9,140.9,24.57,0.1,On Time
ORD-1877,21-05-2024,Consumer,East,City_14,Office Supplies,Storage,Storage - 604,12,43.69,524.28,355.2,169.08,17.71,0,On Time
ORD-1024,20-05-2024,Consumer,East,City_25,Furniture,Tables,Tables - 953,16,34.88,558.08,452.16,105.92,19.47,0,On Time
ORD-1514,20-05-2024,Corporate,Central,City_30,Office Supplies,Binders,Binders - 848,7,475.65,3329.55,2014.32,1315.23,15.8,0,On Time
ORD-1613,20-05-2024,Consumer,Central,City_33,Technology,Copiers,Copiers - 916,12,230.3,2763.6,2191.32,572.28,29.98,0,On Time
ORD-1811,20-05-2024,Corporate,Central,City_42,Furniture,Bookcases,Bookcases - 789,2,286.76,573.52,354.84,218.68,21.12,0,On Time
ORD-1978,20-05-2024,Small Business,West,City_18,Office Supplies,Binders,Binders - 615,11,321.37,3535.07,1960.42,1574.65,23.05,0.1,On Time
ORD-2040,20-05-2024,Small Business,South,City_21,Furniture,Tables,Tables - 377,16,76.95,1231.2,765.44,465.76,17.24,0.3,On Time
ORD-2256,20-05-2024,Small Business,West,City_11,Furniture,Tables,Tables - 100,8,161.54,1292.32,937.04,355.28,15.05,0.2,On Time
ORD-1216,19-05-2024,Consumer,East,City_34,Office Supplies,Storage,Storage - 463,18,207.91,3742.38,1972.8,1769.58,26.54,0,On Time
ORD-1512,19-05-2024,Small Business,West,City_36,Technology,Phones,Phones - 141,19,137.6,2614.4,2074.42,539.98,22.17,0.1,On Time
ORD-1352,18-05-2024,Small Business,West,City_34,Office Supplies,Binders,Binders - 671,16,207.57,3321.12,2535.2,785.92,21.94,0,On Time
ORD-1705,17-05-2024,Consumer,Central,City_40,Technology,Accessories,Accessories - 530,3,224.3,672.9,556.11,116.79,12.21,0.1,On Time
ORD-1801,17-05-2024,Corporate,West,City_5,Furniture,Chairs,Chairs - 501,9,291.01,2619.09,2092.05,527.04,26.91,0,On Time
ORD-1078,16-05-2024,Corporate,West,City_19,Office Supplies,Paper,Paper - 557,19,86.07,1635.33,921.88,713.45,28.65,0.2,On Time
ORD-1511,16-05-2024,Consumer,East,City_33,Office Supplies,Binders,Binders - 113,7,298.02,2086.14,1656.62,429.52,6.23,0,On Time
ORD-1541,16-05-2024,Consumer,West,City_17,Office Supplies,Storage,Storage - 528,1,206.17,206.17,171.43,34.74,24.3,0,On Time
ORD-1777,16-05-2024,Small Business,East,City_26,Office Supplies,Paper,Paper - 767,3,499.66,1498.98,890.1,608.88,21.48,0,On Time
ORD-1793,16-05-2024,Small Business,South,City_30,Office Supplies,Paper,Paper - 632,3,122.94,368.82,226.68,142.14,17.3,0,On Time
ORD-1812,16-05-2024,Small Business,West,City_22,Technology,Phones,Phones - 777,11,15.71,172.81,120.12,52.69,19.8,0.1,On Time
ORD-2076,16-05-2024,Small Business,Central,City_43,Furniture,Bookcases,Bookcases - 615,3,70.73,212.19,143.16,69.03,12.4,0,On Time
ORD-1089,15-05-2024,Consumer,West,City_30,Furniture,Chairs,Chairs - 534,11,303.16,3334.76,2203.85,1130.91,6.94,0,On Time
ORD-1115,15-05-2024,Small Business,West,City_45,Furniture,Chairs,Chairs - 110,8,237.65,1901.2,1403.36,497.84,29.37,0,On Time
ORD-1724,15-05-2024,Consumer,East,City_29,Technology,Accessories,Accessories - 290,5,113.39,566.95,420.05,146.9,15.97,0,On Time
ORD-1273,14-05-2024,Consumer,Central,City_33,Furniture,Tables,Tables - 168,11,103.8,1141.8,735.46,406.34,15.76,0.2,On Time
ORD-1387,14-05-2024,Small Business,West,City_23,Office Supplies,Binders,Binders - 419,19,10.09,191.71,136.99,54.72,16.44,0.1,On Time
ORD-1762,14-05-2024,Consumer,South,City_26,Furniture,Tables,Tables - 927,12,196.18,2354.16,1546.56,807.6,13.76,0.3,On Time
ORD-1944,14-05-2024,Small Business,Central,City_24,Office Supplies,Binders,Binders - 475,4,84.85,339.4,179.56,159.84,16.8,0.1,Late
ORD-2305,14-05-2024,Consumer,Central,City_15,Furniture,Bookcases,Bookcases - 593,16,369.71,5915.36,4243.2,1672.16,9.93,0.3,Late
ORD-1310,13-05-2024,Corporate,West,City_15,Technology,Phones,Phones - 794,3,17.71,53.13,26.88,15.75,22.65,0.2,On Time
ORD-2102,13-05-2024,Small Business,West,City_19,Technology,Phones,Phones - 166,8,281.29,2250.32,1792,458.32,20.1,0,On Time
ORD-2282,13-05-2024,Small Business,Central,City_48,Technology,Phones,Phones - 392,2,344.59,689.18,561.06,128.12,28.62,0,On Time
ORD-2468,13-05-2024,Corporate,South,City_9,Office Supplies,Binders,Binders - 224,5,141.32,706.6,383.75,322.85,25.83,0,On Time
ORD-1138,12-05-2024,Small Business,Central,City_4,Furniture,Chairs,Chairs - 882,11,13.71,150.81,109.56,41.25,11.09,0.2,Late
ORD-1928,12-05-2024,Consumer,West,City_13,Office Supplies,Paper,Paper - 455,9,15.76,141.84,100.08,41.76,26.83,0,On Time
ORD-2458,12-05-2024,Small Business,Central,City_33,Furniture,Bookcases,Bookcases - 744,6,213.18,1279.08,1043.94,235.14,8.13,0,On Time
ORD-1012,11-05-2024,Corporate,West,City_23,Technology,Accessories,Accessories - 665,3,157.43,472.29,283.23,189.06,20.24,0,On Time
ORD-1136,11-05-2024,Corporate,West,City_48,Office Supplies,Storage,Storage - 427,3,92.54,277.62,201.24,76.38,17.51,0.1,On Time
ORD-1169,11-05-2024,Small Business,West,City_11,Office Supplies,Binders,Binders - 835,13,118.32,1538.16,1295.84,242.32,18.95,0.1,On Time
ORD-2041,11-05-2024,Small Business,South,City_38,Technology,Accessories,Accessories - 293,14,474.98,6649.72,4461.66,2188.06,20.53,0,On Time
ORD-2473,11-05-2024,Corporate,West,City_37,Furniture,Bookcases,Bookcases - 104,4,231.63,926.52,701.44,225.08,20.11,0,On Time
ORD-1687,10-05-2024,Corporate,West,City_1,Furniture,Chairs,Chairs - 132,9,355.77,3201.93,2149.2,1052.73,10.55,0,On Time
ORD-1618,09-05-2024,Consumer,South,City_1,Furniture,Bookcases,Bookcases - 392,18,389.26,7006.68,3630.96,3375.72,24.89,0,On Time
ORD-1187,08-05-2024,Consumer,West,City_39,Office Supplies,Binders,Binders - 736,5,473.39,2366.95,1887.6,479.35,16.56,0.1,On Time
ORD-1229,08-05-2024,Small Business,East,City_24,Office Supplies,Paper,Paper - 780,11,437.3,4810.3,3292.74,1517.56,21.11,0.1,On Time
ORD-1443,08-05-2024,Corporate,West,City_10,Office Supplies,Storage,Storage - 814,4,263.47,1053.88,679.32,374.56,15.31,0,On Time
ORD-1490,08-05-2024,Small Business,East,City_43,Technology,Accessories,Accessories - 293,5,261.84,1309.2,970.85,203.01,13.07,0.2,On Time
ORD-1253,06-05-2024,Small Business,South,City_6,Technology,Accessories,Accessories - 253,12,137.18,1646.16,1074.84,571.32,6.83,0,On Time
ORD-2448,06-05-2024,Small Business,West,City_42,Furniture,Tables,Tables - 634,16,362.25,5796,4691.04,1104.96,28.34,0,On Time
ORD-1250,05-05-2024,Small Business,South,City_11,Office Supplies,Paper,Paper - 460,15,39.71,595.65,441.6,154.05,28.27,0.1,On Time
ORD-1742,05-05-2024,Consumer,East,City_10,Technology,Copiers,Copiers - 352,11,43.81,481.91,408.87,73.04,8.73,0,On Time
ORD-1130,04-05-2024,Corporate,West,City_38,Technology,Copiers,Copiers - 527,2,168.33,336.66,283,53.66,11.36,0,On Time
ORD-1186,04-05-2024,Corporate,East,City_17,Technology,Phones,Phones - 276,17,490.45,8337.65,4832.42,3505.23,18.56,0,On Time
ORD-1969,03-05-2024,Corporate,South,City_1,Furniture,Tables,Tables - 861,14,183.04,2562.56,2133.46,429.1,14.14,0,Late
ORD-1167,02-05-2024,Consumer,East,City_9,Furniture,Bookcases,Bookcases - 282,16,407.77,6524.32,4761.28,1763.04,13.46,0,Late
ORD-1168,02-05-2024,Corporate,West,City_39,Furniture,Tables,Tables - 730,12,106.76,1281.12,1038.24,242.88,12.15,0.1,On Time
ORD-1329,01-05-2024,Consumer,Central,City_24,Furniture,Bookcases,Bookcases - 372,10,398.37,3983.7,2866.5,1117.2,8.8,0.1,On Time
ORD-1416,01-05-2024,Consumer,East,City_2,Office Supplies,Paper,Paper - 592,19,444.28,8441.32,4667.92,3773.4,13.21,0,On Time
ORD-1666,30-04-2024,Small Business,West,City_17,Technology,Copiers,Copiers - 246,5,326.42,1632.1,823.75,808.35,29.62,0,On Time
ORD-1684,30-04-2024,Small Business,South,City_45,Technology,Copiers,Copiers - 510,18,210.37,3786.66,2770.74,1015.92,20.76,0,On Time
ORD-1009,29-04-2024,Consumer,East,City_6,Technology,Copiers,Copiers - 673,4,472,1888,1339.72,548.28,27.01,0.1,On Time
ORD-1320,29-04-2024,Consumer,Central,City_30,Office Supplies,Binders,Binders - 192,8,66.07,528.56,265.92,262.64,10.18,0,On Time
ORD-1702,29-04-2024,Small Business,East,City_9,Technology,Accessories,Accessories - 687,9,227.93,2051.37,1059.03,992.34,28.04,0,On Time
ORD-1481,28-04-2024,Consumer,Central,City_21,Office Supplies,Binders,Binders - 318,11,272.42,2996.62,1998.59,998.03,27.19,0,On Time
ORD-1530,28-04-2024,Small Business,Central,City_43,Office Supplies,Paper,Paper - 725,18,80.71,1452.78,774,678.78,26.84,0,On Time
ORD-2482,28-04-2024,Consumer,South,City_15,Technology,Accessories,Accessories - 420,4,178.89,715.56,445.4,270.16,14.59,0,On Time
ORD-1640,27-04-2024,Consumer,West,City_26,Office Supplies,Paper,Paper - 306,18,445.04,8010.72,5281.38,2729.34,15.1,0,On Time
ORD-2190,27-04-2024,Consumer,East,City_48,Furniture,Bookcases,Bookcases - 423,6,128.32,769.92,401.76,368.16,8.11,0,Late
ORD-2231,27-04-2024,Small Business,East,City_31,Office Supplies,Storage,Storage - 336,6,289.36,1736.16,936.66,799.5,9.97,0.2,On Time
ORD-1205,26-04-2024,Consumer,South,City_29,Furniture,Bookcases,Bookcases - 919,15,50.28,754.2,617.55,136.65,8.44,0,On Time
ORD-1680,26-04-2024,Consumer,East,City_18,Technology,Accessories,Accessories - 186,1,465.92,465.92,369.44,57.888,5.56,0.3,On Time
ORD-2371,26-04-2024,Small Business,East,City_6,Furniture,Tables,Tables - 648,16,352.47,5639.52,4792.48,847.04,24.04,0.1,Late
ORD-2081,25-04-2024,Corporate,West,City_16,Technology,Phones,Phones - 526,8,58.21,465.68,286.16,179.52,8.91,0,On Time
ORD-2357,25-04-2024,Consumer,South,City_38,Technology,Phones,Phones - 100,7,284.62,1992.34,1403.01,589.33,18.72,0,On Time
ORD-1302,24-04-2024,Consumer,Central,City_17,Technology,Phones,Phones - 541,19,314.03,5966.57,4533.4,1433.17,9.87,0,On Time
ORD-2237,23-04-2024,Consumer,South,City_37,Office Supplies,Binders,Binders - 608,4,347.01,1388.04,922.96,465.08,16.09,0.2,On Time
ORD-1255,22-04-2024,Small Business,Central,City_37,Office Supplies,Binders,Binders - 236,11,336.63,3702.93,2062.28,1640.65,24.29,0,On Time
ORD-1699,22-04-2024,Small Business,Central,City_6,Furniture,Chairs,Chairs - 126,13,189.71,2466.23,1437.8,1028.43,6.81,0,Late
ORD-1938,22-04-2024,Small Business,Central,City_21,Technology,Copiers,Copiers - 499,8,197.71,1581.68,973.76,607.92,13.65,0,On Time
ORD-1004,21-04-2024,Corporate,South,City_21,Office Supplies,Paper,Paper - 395,4,302.97,1211.88,996.96,214.92,9.9,0,On Time
ORD-1436,21-04-2024,Consumer,East,City_43,Technology,Phones,Phones - 685,16,92.72,1483.52,1185.12,298.4,17.79,0,On Time
ORD-2156,21-04-2024,Corporate,West,City_14,Office Supplies,Binders,Binders - 546,15,317.62,4764.3,2382.3,2382,14.74,0,On Time
ORD-2384,21-04-2024,Small Business,South,City_21,Furniture,Tables,Tables - 356,14,373.63,5230.82,3889.9,1340.92,22.91,0.2,Late
ORD-1195,20-04-2024,Corporate,South,City_34,Office Supplies,Paper,Paper - 827,19,382.2,7261.8,6142.13,1119.67,21.29,0.2,On Time
ORD-1381,20-04-2024,Consumer,West,City_13,Furniture,Tables,Tables - 398,11,106.16,1167.76,635.14,532.62,7.7,0.3,On Time
ORD-1670,20-04-2024,Small Business,Central,City_5,Furniture,Bookcases,Bookcases - 865,6,347.92,2087.52,1263.96,823.56,8.76,0.1,On Time
